Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/add_appointment,27,0,2300,2339.6747333506396,2085.2525000227615,2829.4331000652164,78.0,0.4624263838484086,0.0,2300,2400,2500,2600,2700,2800,2800,2800,2800,2800,2800
GET,/audit_logs,17,0,2400,2377.8705235214575,2101.984400069341,2699.6314000571147,1813.0,0.29115735279344246,0.0,2400,2400,2500,2500,2600,2700,2700,2700,2700,2700,2700
GET,/doctor/appointments,51,0,2300,2381.362741185334,2097.2335999831557,2929.124200018123,253.0,0.8734720583803274,0.0,2300,2400,2500,2600,2700,2800,2900,2900,2900,2900,2900
GET,/doctor/patients,21,0,2200,2257.658104778134,2091.286800103262,2651.3054000679404,1851.0,0.35966496521542896,0.0,2200,2200,2300,2300,2500,2600,2700,2700,2700,2700,2700
GET,/doctor/slots,42,0,2300,2356.9105166714594,2093.4130999958143,2847.176800016314,256.0,0.7193299304308579,0.0,2300,2400,2500,2500,2700,2800,2800,2800,2800,2800,2800
GET,/doctors,130,0,2300,2310.493977693841,2089.668400003575,2846.647300058976,983.0,2.22649740371456,0.0,2300,2400,2400,2500,2600,2700,2800,2800,2800,2800,2800
GET,/medicines,66,0,2300,2319.6862772668032,2099.016199936159,2764.8876999737695,2828.0,1.1303756049627767,0.0,2300,2400,2400,2400,2500,2600,2700,2800,2800,2800,2800
GET,/members,32,0,2300,2363.5267718673276,2088.155400007963,2973.048299900256,15151.0,0.5480608993758918,0.0,2300,2400,2600,2600,2700,2800,3000,3000,3000,3000,3000
GET,/my_appointments,49,0,2300,2342.7187204075863,2080.906099989079,2883.085700101219,222.0,0.8392182521693342,0.0,2300,2400,2500,2600,2700,2700,2900,2900,2900,2900,2900
GET,/slots/[doctor_id],78,0,2300,2369.308020516585,2102.7990999864414,2837.1461000060663,256.0,1.335898442228736,0.0,2300,2400,2500,2600,2700,2700,2800,2800,2800,2800,2800
,Aggregated,513,0,2300,2339.4565095539074,2080.906099989079,2973.048299900256,1804.2280701754387,8.786101293119764,0.0,2300,2400,2500,2500,2700,2700,2800,2800,3000,3000,3000
